Account,Date,Support Ticket Count,Support Ticket Decline,Jira Ticket Count,Monthly Consumption,Consumption % as per committed transactions,POC NPS,DM NPS,Count of enabled B2C channels,Count of enabled B2B channels,Count of enabled warehouses,Count of enabled stores,Industry,Region,Customer Tenure (months),Last Engagement Score,Opportunity Score
Company_001,2024-07-01,12,2,5,40455.87,99.24,63,-72,0,4,1,7,Healthcare,West,11,75.22,Medium
Company_002,2024-07-01,8,0,5,120520.84,857.32,-65,88,1,10,5,17,Logistics,West,11,23.2,Low
Company_003,2024-07-01,11,2,2,182317.48,328.72,-78,51,6,0,0,2,E-commerce,West,2,98.47,Medium
Company_004,2024-07-01,12,6,6,13819.32,20.19,-45,-41,8,9,0,17,Finance,East,32,50.23,Low
Company_005,2024-07-01,9,1,4,43749.56,719.94,-50,83,10,8,3,7,Finance,West,54,95.11,High
Company_006,2024-07-01,13,4,4,65641.55,95.95,14,50,4,0,1,13,Finance,West,19,50.5,Low
Company_007,2024-07-01,12,2,6,26038.83,233.98,-13,-29,2,3,2,3,Retail,West,56,47.19,Medium
Company_008,2024-07-01,11,4,3,36438.15,19.56,-77,-3,1,5,2,19,Retail,South,5,44.91,Low
Company_009,2024-07-01,13,3,5,88286.02,53.67,-33,-89,7,8,0,12,Retail,West,3,33.49,Low
Company_010,2024-07-01,14,0,8,101963.46,160.14,-80,41,4,10,4,11,E-commerce,North,28,53.37,Medium
Company_011,2024-07-01,8,0,5,136066.43,88.63,47,-51,1,0,5,7,Logistics,West,26,45.26,Low
Company_012,2024-07-01,7,4,3,12951.15,10.77,97,-26,1,3,0,12,Finance,West,23,3.67,Low
Company_013,2024-07-01,12,0,5,185315.26,105.24,-29,16,10,5,1,11,Healthcare,East,30,26.04,Medium
Company_014,2024-07-01,7,1,5,146561.36,81.45,-10,-47,10,4,5,20,Finance,West,8,21.31,Low
Company_015,2024-07-01,11,4,6,150565.82,114.34,-82,55,10,2,4,7,Finance,South,36,86.74,Medium
Company_016,2024-07-01,11,1,7,145878.16,244.15,-59,18,6,4,5,17,Finance,Central,29,59.89,Medium
Company_017,2024-07-01,9,1,5,113576.25,60.56,-44,75,5,0,1,1,Finance,West,13,76.37,Low
Company_018,2024-07-01,12,4,11,102795.68,63.98,-20,2,4,1,1,18,Logistics,West,59,95.68,Low
Company_019,2024-07-01,11,3,2,95791.61,86.44,83,-20,3,10,3,12,Healthcare,West,25,64.4,Low
Company_020,2024-07-01,8,1,4,108614.15,98.36,64,17,2,4,1,7,Retail,East,22,98.26,Medium
Company_021,2024-07-01,11,2,3,192716.44,114.7,90,43,8,4,5,18,Healthcare,Central,46,31.18,High
Company_022,2024-07-01,12,2,8,74414.67,48.71,9,49,6,5,1,4,Finance,East,33,18.63,Low
Company_023,2024-07-01,3,0,5,128843.26,931.33,30,26,1,0,0,4,Healthcare,East,37,40.33,Medium
Company_024,2024-07-01,9,3,2,119226.24,63.3,60,-60,10,6,4,2,Finance,East,53,47.08,Low
Company_025,2024-07-01,11,0,4,24651.71,288.21,-2,-3,9,7,4,8,Healthcare,South,7,89.54,Medium
Company_026,2024-07-01,5,1,7,59996.74,151.5,41,-98,10,1,5,17,E-commerce,Central,23,55.99,Low
Company_027,2024-07-01,12,2,7,103524.21,62.3,92,-32,10,5,0,9,Healthcare,South,6,29.22,Low
Company_028,2024-07-01,9,2,8,101411.96,625.08,11,-60,7,0,5,8,Retail,South,15,74.26,Low
Company_029,2024-07-01,10,1,3,141688.98,738.39,28,95,2,8,0,20,Retail,Central,15,50.58,Low
Company_030,2024-07-01,13,6,5,181739.11,681.09,-24,63,8,9,1,4,Healthcare,South,40,16.21,Low
Company_031,2024-07-01,10,1,7,192828.4,2616.35,-5,95,2,8,4,0,Healthcare,Central,34,57.68,Medium
Company_032,2024-07-01,19,3,9,59787.82,31.41,53,-18,7,0,0,11,Logistics,West,14,91.14,Low
Company_033,2024-07-01,15,0,6,65357.89,39.93,-22,-39,0,3,4,2,Healthcare,East,29,84.26,Medium
Company_034,2024-07-01,12,0,1,78410.36,48.09,-79,87,7,1,4,4,Retail,South,16,58.68,Low
Company_035,2024-07-01,11,1,9,92856.11,307.61,-68,68,7,8,1,8,E-commerce,Central,29,37.71,Medium
Company_036,2024-07-01,17,8,7,175947.45,210.26,35,55,6,3,4,6,Retail,North,23,8.7,Low
Company_037,2024-07-01,6,1,1,73364.57,61.12,82,-21,6,10,5,11,Logistics,South,10,46.96,Low
Company_038,2024-07-01,9,1,7,94531.47,48.2,12,32,7,1,1,7,Healthcare,South,47,75.21,Medium
Company_039,2024-07-01,10,0,2,129970.58,321.18,-84,-14,0,9,4,7,E-commerce,Central,55,36.03,Medium
Company_040,2024-07-01,10,2,2,28523.99,30.07,50,-44,0,1,5,20,Retail,North,4,23.54,Low
Company_041,2024-07-01,7,3,4,58991.14,36.37,-85,-42,1,0,2,2,E-commerce,North,12,93.14,Low
Company_042,2024-07-01,12,3,3,54225.2,37.63,31,-40,4,10,3,6,Finance,West,42,82.16,Low
Company_043,2024-07-01,15,1,3,67805.44,146.66,38,-67,9,9,3,7,Retail,South,34,63.83,Medium
Company_044,2024-07-01,8,1,5,29878.16,49.52,100,21,6,3,0,3,Finance,East,4,13.68,Low
Company_045,2024-07-01,9,4,3,38807.85,21.58,68,10,5,6,3,14,E-commerce,South,20,14.49,Low
Company_046,2024-07-01,5,1,7,68117.45,77.44,86,-87,10,10,5,3,Healthcare,East,28,10.32,Low
Company_047,2024-07-01,10,4,3,70637.83,226.32,-85,3,5,1,1,6,Healthcare,East,28,61.63,Low
Company_048,2024-07-01,8,2,6,147519.16,78.48,-52,37,7,2,3,5,Healthcare,Central,6,11.56,Low
Company_049,2024-07-01,7,1,3,163842.07,121.62,-29,18,3,1,3,17,Finance,South,14,84.26,Medium
Company_050,2024-07-01,10,2,5,180417.04,225.92,-75,-88,10,8,0,2,Healthcare,Central,55,99.3,Medium
Company_051,2024-07-01,10,3,7,150069.53,1300.56,92,-40,2,6,3,15,Logistics,West,35,36.63,Low
Company_052,2024-07-01,11,3,4,49704.02,34.08,-46,2,0,2,3,0,Retail,East,47,45.37,Low
Company_053,2024-07-01,12,4,6,119314.82,115.12,-1,-33,7,4,3,17,Retail,North,58,71.17,Medium
Company_054,2024-07-01,11,3,9,27081.42,13.74,69,83,7,2,1,9,E-commerce,East,1,93.72,Low
Company_055,2024-07-01,14,5,3,5903.24,8.43,-45,-86,9,8,0,10,Finance,West,19,89.41,Low
Company_056,2024-07-01,9,5,3,39395.46,38.55,-86,-88,9,7,4,16,Retail,East,57,5.76,Low
Company_057,2024-07-01,9,0,5,199390.48,193.72,-60,-86,8,1,1,2,Finance,Central,1,16.91,Low
Company_058,2024-07-01,11,4,2,115144.02,646.4,52,-83,10,3,3,3,E-commerce,South,13,75.46,Low
Company_059,2024-07-01,13,6,5,130579.91,154.16,45,-37,9,9,0,19,Healthcare,North,8,68.89,Low
Company_060,2024-07-01,12,1,1,160983.64,404.32,-80,7,10,9,4,16,E-commerce,Central,18,13.32,Low
Company_061,2024-07-01,11,1,6,21674.16,47.6,-20,-34,3,10,5,10,Logistics,South,54,50.21,Low
Company_062,2024-07-01,11,1,6,62420.82,32.86,-39,-33,6,2,5,20,Healthcare,North,35,78.08,Medium
Company_063,2024-07-01,13,4,2,110618.67,86.07,-24,17,5,1,0,14,Healthcare,West,23,21.88,Low
Company_064,2024-07-01,7,1,1,183288.27,655.5,59,44,1,1,4,6,Healthcare,East,50,87.13,High
Company_065,2024-07-01,11,2,1,180503.64,102.9,29,-33,2,5,0,7,E-commerce,North,52,5.3,Medium
Company_066,2024-07-01,11,6,2,21145.74,17.25,-6,-28,2,7,4,9,Logistics,West,26,78.22,Low
Company_067,2024-07-01,7,0,6,56141.49,46.38,56,67,8,0,5,17,Finance,South,41,61.58,Medium
Company_068,2024-07-01,11,1,7,22858.5,12.43,-24,69,1,2,2,3,E-commerce,North,38,31.52,Low
Company_069,2024-07-01,9,4,8,142587.16,76.9,-73,90,8,2,2,9,Retail,West,20,72.09,Low
Company_070,2024-07-01,7,2,6,121272.63,243.27,54,-47,5,3,5,20,Retail,South,2,78.24,Low
Company_071,2024-07-01,6,0,7,9758.15,5.59,-33,29,7,4,0,2,E-commerce,Central,26,93.39,Medium
Company_072,2024-07-01,8,0,6,74151.32,121.54,62,8,4,0,0,10,Finance,East,57,36.78,Medium
Company_073,2024-07-01,8,3,4,176428.07,93.24,97,-67,10,4,1,14,Retail,West,36,68.6,Low
